airport_iata_code,iso_country_code
DAU,PG
MDU,PG
MXH,PG
MIS,PG
TIZ,PG
TBG,PG
RAB,PG
GOH,GL
THU,GL
KEF,IS
MVA,IS
VEY,IS
VPN,IS
PRN,XK
ZEL,CA
YJP,CA
CFM,CA
YBS,CA
YPD,CA
SSQ,CA
YAU,CA
YAG,CA
YAH,CA
YBG,CA
YBK,CA
YBR,CA
YBX,CA
YCB,CA
YCE,CA
YCH,CA
YCO,CA
YCQ,CA
YCY,CA
YDA,CA
YDQ,CA
YEK,CA
YEL,CA
YEU,CA
YFB,CA
YFC,CA
YFE,CA
YTM,CA
YGV,CA
YGW,CA
YGX,CA
YHD,CA
YNS,CA
YHK,CA
YHO,CA
YHY,CA
YIO,CA
YIV,CA
YJN,CA
YJT,CA
YKA,CA
YKC,CA
YKX,CA
YLD,CA
YLL,CA
YLQ,CA
YNM,CA
HZP,CA
YOA,CA
YOJ,CA
YOP,CA
YOW,CA
YPC,CA
YPH,CA
YPN,CA
YPQ,CA
YPX,CA
YPY,CA
YQD,CA
YQF,CA
YQW,CA
YQY,CA
YRI,CA
YRJ,CA
YRL,CA
YRM,CA
YRQ,CA
YSL,CA
YSM,CA
YCM,CA
YSP,CA
YST,CA
YSU,CA
YTA,CA
YTF,CA
YTL,CA
YTR,CA
YVC,CA
YVT,CA
YXJ,CA
YXL,CA
YXR,CA
YXU,CA
YXZ,CA
YYC,CA
YYH,CA
YYJ,CA
YYL,CA
YYN,CA
YZF,CA
YZX,CA
YDT,CA
ZTM,CA
BUJ,DZ
ALG,DZ
QSF,DZ
TEE,DZ
BLJ,DZ
TIN,DZ
ORN,DZ
AZR,DZ
HME,DZ
ELU,DZ
OGX,DZ
IAM,DZ
DGU,BF
TML,GH
DJO,CI
KEO,CI
SEO,CI
ASK,CI
QUO,NG
MXJ,NG
MFQ,NE
ZND,NE
NBE,TN
DJE,TN
KJK,BE
FRA,DE
FMO,DE
CGN,DE
SCN,DE
BRE,DE
HHN,DE
MHG,DE
SGE,DE
KZG,DE
KEL,DE
LBC,DE
ESS,DE
BFE,DE
RBM,DE
FDH,DE
HOQ,DE
BBJ,DE
ZQW,DE
KSF,DE
QHU,DE
GWT,DE
URE,EE
EPU,EE
TLL,EE
KEV,FI
HYV,FI
KAU,FI
KEM,FI
KAJ,FI
MHQ,FI
RVN,FI
SJY,FI
TKU,FI
VRK,FI
BFS,GB
CVT,GB
GLO,GB
YEO,GB
HAW,GB
SWS,GB
QUG,GB
JER,JE
BBS,GB
LHR,GB
LYX,GB
CAX,GB
IOM,IM
VLY,GB
LSI,GB
WIC,GB
ABZ,GB
ILY,GB
DND,GB
TRE,GB
LKZ,GB
FFD,GB
GLZ,NL
DHR,NL
ENS,NL
WOE,NL
CFN,IE
DUB,IE
SNN,IE
RNN,DK
SGD,DK
SKS,DK
TED,DK
FAE,FO
AES,NO
BOO,NO
BDU,NO
FRO,NO
KKN,NO
NTB,NO
HOV,NO
RRS,NO
LYR,NO
SSJ,NO
BZG,PL
LCJ,PL
POZ,PL
RDO,PL
SZY,PL
GSE,SE
MXX,SE
SCR,SE
MMX,SE
VXO,SE
KRF,SE
LYC,SE
SDL,SE
KRN,SE
SFT,SE
AJR,SE
HLF,SE
NRK,SE
EKT,SE
VBY,SE
PJA,SE
HMV,SE
SPM,DE
RMS,DE
FRZ,DE
GKE,DE
IGS,DE
LPX,LV
SQQ,LT
VNO,LT
CPT,ZA
ELS,ZA
FCB,ZA
KIM,ZA
MQP,ZA
HLA,ZA
NTY,ZA
UTN,ZA
UTT,ZA
VRE,ZA
GNZ,BW
BBK,BW
TLD,BW
PKW,BW
SIB,CG
EWO,CG
OUE,CG
DIS,CG
BOP,CF
BBT,CF
ODA,CF
IMO,CF
MKI,CF
ODJ,CF
BSG,GQ
SSG,GQ
HLE,SH
KBI,CM
TKC,CM
BLC,CM
MVR,CM
FOM,CM
GOU,CM
NSI,CM
MNS,ZM
NLA,ZM
HAH,KM
AJN,KM
VVB,MG
TNR,MG
MXT,MG
SMS,MG
DIE,MG
ZWA,MG
MJN,MG
WMN,MG
WFI,MG
OVA,MG
MXM,MG
CAB,AO
CTI,AO
VPE,AO
MEG,AO
SPP,AO
GXG,AO
UGO,AO
CEO,AO
MJL,GA
OKN,GA
LBQ,GA
POG,GA
OMB,GA
LBV,GA
MVB,GA
MYB,GA
TMS,ST
INH,MZ
LFB,MZ
MPM,MZ
APL,MZ
PRI,SC
MQQ,TD
PLF,TD
FYT,TD
VFA,ZW
MVZ,ZW
HRE,ZW
CEH,MW
BLZ,MW
KGJ,MW
MSU,LS
OND,NA
ERS,NA
WDH,NA
FIH,CD
MAT,CD
MDK,CD
BDT,CD
GMA,CD
FKI,CD
FBM,CD
KOO,CD
GUD,ML
NIX,ML
TOM,ML
BJL,GM
FUE,ES
SPC,ES
LPA,ES
ACE,ES
MLN,ES
SNI,LR
MLW,LR
NIA,LR
ROB,LR
THC,LR
AGA,MA
TTA,MA
OZG,MA
AHU,MA
TTU,MA
ZIG,SN
AEO,MR
KFA,MR
TMD,MR
EMN,MR
SEY,MR
ATR,MR
OUZ,MR
FIG,GN
MCA,GN
SBI,GN
GII,GN
SID,CV
SNE,CV
VXE,CV
BJR,ET
DSE,ET
DEM,ET
DIR,ET
GOB,ET
GDE,ET
LLI,ET
BJM,BI
GGR,SO
BSA,SO
GSR,SO
KMU,SO
CMS,SO
BUO,SO
JIB,DJ
DBB,EG
ATZ,EG
CCE,EG
HRG,EG
EGH,EG
UVL,EG
RMF,EG
MUH,EG
SPX,EG
TCP,EG
JUB,SS
KIS,KE
LKG,KE
SRX,LY
HUQ,LY
TOB,LY
QUB,LY
ZIS,LY
KGL,RW
RHG,RW
RSS,SD
ELF,SD
KDX,SD
MWE,SD
EBD,SD
WHF,SD
DAR,TZ
TKQ,TZ
LKY,TZ
MFA,TZ
MWN,TZ
SHY,TZ
TBO,TZ
RUA,UG
EBB,UG
PAF,UG
SRT,UG
ABR,US
ACK,US
ACV,US
ADG,US
ADM,US
AFF,US
AFW,US
AIA,US
ALM,US
ALX,US
AMA,US
ANP,US
ANY,US
APA,US
ARA,US
ARG,US
AUZ,US
ARV,US
ASE,US
