company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes
OO,4792,2025-08-04,ORD,ROA,2025-08-04T17:57:00Z,2025-08-04T21:04:00Z,2025-08-04T18:04:00Z,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34
UA,920,2025-08-03,ORD,LHR,2025-08-03T18:05:00Z,2025-08-04T08:20:00Z,2025-08-03T18:27:00Z,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145
UA,1776,2025-08-10,ORD,PHL,2025-08-10T18:20:00Z,2025-08-10T21:35:00Z,2025-08-10T20:11:00Z,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51
OO,5790,2025-08-06,ORD,CRW,2025-08-06T18:20:00Z,2025-08-06T21:04:00Z,2025-08-06T20:05:00Z,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29
UA,1398,2025-08-05,ORD,ATL,2025-08-05T18:20:00Z,2025-08-05T21:29:00Z,2025-08-05T18:16:00Z,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51
OO,5470,2025-08-07,ORD,GEG,2025-08-07T08:40:00Z,2025-08-07T10:56:00Z,2025-08-07T08:36:00Z,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34
UA,374,2025-08-15,ORD,MSP,2025-08-15T16:10:00Z,2025-08-15T17:49:00Z,2025-08-15T16:38:00Z,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43
UA,1577,2025-08-15,ORD,SFO,2025-08-15T14:40:00Z,2025-08-15T17:26:00Z,2025-08-15T14:39:00Z,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66
UA,881,2025-08-03,ORD,HND,2025-08-03T12:50:00Z,2025-08-04T15:55:00Z,2025-08-03T13:15:00Z,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155
UA,2006,2025-08-09,ORD,GUA,2025-08-09T09:14:00Z,2025-08-09T12:45:00Z,2025-08-09T09:24:00Z,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65
UA,307,2025-08-14,ORD,COS,2025-08-14T09:15:00Z,2025-08-14T11:08:00Z,2025-08-14T09:11:00Z,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56
UA,1538,2025-08-08,ORD,SAV,2025-08-08T11:05:00Z,2025-08-08T14:34:00Z,2025-08-08T10:59:00Z,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43
UA,1006,2025-08-02,ORD,LGA,2025-08-02T18:00:00Z,2025-08-02T21:20:00Z,2025-08-02T19:00:00Z,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51
G7,4395,2025-08-14,ORD,TVC,2025-08-14T18:15:00Z,2025-08-14T20:38:00Z,2025-08-14T19:41:00Z,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29
UA,1538,2025-08-06,ORD,SAV,2025-08-06T11:05:00Z,2025-08-06T14:34:00Z,2025-08-06T10:57:00Z,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43
UA,2138,2025-08-08,ORD,LGA,2025-08-08T14:05:00Z,2025-08-08T17:27:00Z,2025-08-08T14:01:00Z,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51
G7,4481,2025-08-15,ORD,GRR,2025-08-15T07:00:00Z,2025-08-15T09:07:00Z,2025-08-15T06:56:00Z,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29
OO,5108,2025-08-14,ORD,SLN,2025-08-14T16:45:00Z,2025-08-14T18:50:00Z,2025-08-14T16:39:00Z,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29
YX,3568,2025-08-15,ORD,YYZ,2025-08-15T10:50:00Z,2025-08-15T13:42:00Z,2025-08-15T10:48:00Z,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42
OO,4739,2025-08-03,ORD,GRB,2025-08-03T15:35:00Z,2025-08-03T16:48:00Z,2025-08-03T15:34:00Z,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29
UA,664,2025-08-02,ORD,LGA,2025-08-02T16:00:00Z,2025-08-02T19:20:00Z,2025-08-02T16:01:00Z,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51
OO,5517,2025-08-04,ORD,PVD,2025-08-04T18:15:00Z,2025-08-04T21:54:00Z,2025-08-04T18:14:00Z,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34
UA,1156,2025-08-08,ORD,MSY,2025-08-08T19:55:00Z,2025-08-08T22:25:00Z,2025-08-08T20:14:00Z,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56
G7,4387,2025-08-06,ORD,CID,2025-08-06T09:20:00Z,2025-08-06T10:40:00Z,2025-08-06T09:05:00Z,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29
