company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,ground_time_risk,ground_time_buffer,total_pax,lap_child_count,child_count,basic_economy_pax,stroller_count,load_factor,load_category,child_ratio,basic_econ_ratio,total_ssr_count,unique_pnr_with_ssr,ssr_per_pax,ssr_category,origin_bags,regular_transfer_bags,hot_transfer_bags,Checked,All_Transfers,total_bags,transfer_to_checked_ratio,hot_transfer_pct
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04 21:04:00+00:00,2025-08-04 18:04:00+00:00,2025-08-04 20:52:00+00:00,76,ERJ-175,Express,42,34,34,7.0,False,8,65,0,1,7,0,85.52631578947368,High (75-90%),0.015384615384615385,0.1076923076923077,41,39,0.6307692307692307,High SSR,6.0,20.0,16.0,6.0,36.0,42.0,6.0,44.44444444444444
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,Mainline,235,229,145,22.0,False,90,171,1,5,0,0,102.39520958083833,,0.029239766081871343,0.0,60,57,0.3508771929824561,High SSR,90.0,37.0,16.0,90.0,53.0,143.0,0.5888888888888889,30.18867924528302
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,Mainline,76,69,51,111.0,False,25,180,0,5,18,2,108.43373493975903,,0.027777777777777776,0.1,41,37,0.22777777777777777,High SSR,46.0,38.0,1.0,46.0,39.0,85.0,0.8478260869565217,2.564102564102564
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06 21:04:00+00:00,2025-08-06 20:05:00+00:00,2025-08-06 22:42:00+00:00,50,CRJ-200,Express,223,38,29,105.0,False,194,55,0,2,2,0,110.00000000000001,,0.03636363636363636,0.03636363636363636,30,26,0.5454545454545454,Low SSR,14.0,40.0,0.0,14.0,40.0,54.0,2.857142857142857,0.0
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,Mainline,75,72,51,-4.0,False,24,136,0,3,11,0,81.92771084337349,High (75-90%),0.022058823529411766,0.08088235294117647,96,90,0.7058823529411765,High SSR,19.0,51.0,0.0,19.0,51.0,70.0,2.6842105263157894,0.0
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07 10:56:00+00:00,2025-08-07 08:36:00+00:00,2025-08-07 10:43:00+00:00,76,ERJ-175,Express,49,44,34,-4.0,False,15,73,1,1,9,0,96.05263157894737,Very High (>90%),0.0136986301369863,0.1232876712328767,23,23,0.3150684931506849,Low SSR,14.0,23.0,3.0,14.0,26.0,40.0,1.8571428571428572,11.538461538461538
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,Mainline,54,41,43,28.0,False,11,128,1,1,12,0,101.58730158730158,,0.0078125,0.09375,85,82,0.6640625,High SSR,21.0,60.0,2.0,21.0,62.0,83.0,2.9523809523809526,3.225806451612903
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,Mainline,123,134,66,-1.0,False,57,261,1,10,22,3,111.53846153846155,,0.038314176245210725,0.0842911877394636,88,83,0.3371647509578544,High SSR,83.0,66.0,0.0,83.0,66.0,149.0,0.7951807228915663,0.0
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,Mainline,365,407,155,25.0,False,210,370,0,16,0,1,116.35220125786164,,0.043243243243243246,0.0,93,91,0.25135135135135134,High SSR,102.0,231.0,15.0,102.0,246.0,348.0,2.411764705882353,6.097560975609756
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,Mainline,90,126,65,10.0,False,25,188,2,9,45,2,113.25301204819279,,0.047872340425531915,0.2393617021276596,80,75,0.425531914893617,High SSR,131.0,59.0,0.0,131.0,59.0,190.0,0.45038167938931295,0.0
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14 11:08:00+00:00,2025-08-14 09:11:00+00:00,2025-08-14 10:44:00+00:00,179,B737-MAX9,Mainline,94,85,56,-4.0,False,38,147,2,7,22,3,82.12290502793296,High (75-90%),0.047619047619047616,0.14965986394557823,68,65,0.46258503401360546,High SSR,55.0,24.0,6.0,55.0,30.0,85.0,0.5454545454545454,20.0
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08 14:34:00+00:00,2025-08-08 10:59:00+00:00,2025-08-08 14:11:00+00:00,126,B737-700,Mainline,100,108,43,-6.0,False,57,188,3,13,2,5,149.20634920634922,,0.06914893617021277,0.010638297872340425,73,68,0.3882978723404255,High SSR,69.0,18.0,0.0,69.0,18.0,87.0,0.2608695652173913,0.0
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02 21:20:00+00:00,2025-08-02 19:00:00+00:00,2025-08-02 22:10:00+00:00,166,B737-800,Mainline,63,55,51,60.0,False,12,199,0,11,26,1,119.87951807228916,,0.05527638190954774,0.1306532663316583,85,79,0.4271356783919598,High SSR,37.0,32.0,4.0,37.0,36.0,73.0,0.972972972972973,11.11111111111111
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14 20:38:00+00:00,2025-08-14 19:41:00+00:00,2025-08-14 21:46:00+00:00,50,CRJ-550,Express,132,124,29,86.0,False,103,51,1,1,1,0,102.0,,0.0196078431372549,0.0196078431372549,29,29,0.5686274509803921,Low SSR,3.0,31.0,3.0,3.0,34.0,37.0,11.333333333333334,8.823529411764707
