flight_id,company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,difficulty_score_scaled,daily_rank,daily_percentile,difficulty_category,ground_time_pressure,is_tight_turnaround,is_very_tight_turnaround,load_factor,bags_per_passenger,transfer_ratio,special_service_ratio,wheelchair_ratio,children_ratio,total_passengers,total_bags,checked_bags,transfer_bags,total_special_requests,wheelchair_requests,total_children,total_lap_children,scheduled_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,fleet_type,total_seats,haul_type,time_of_day,is_international
UA_1811_2025-08-01_ORD_MSP,UA,1811,2025-08-01,ORD,MSP,0.5043195128906299,81.20202059029847,1,100.0,Difficult,0.27450980392156865,1,1,1.0,0.8706467661691543,2.3877551020408165,0.07462686567164178,0.07462686567164178,0.06965174129353234,201,175.0,49.0,117.0,15.0,15.0,14,0,14,51,54.0,B737-800,166,Medium,Midday,0
UA_972_2025-08-01_ORD_BRU,UA,972,2025-08-01,ORD,BRU,0.5013519469021354,80.69369129317847,2,99.8217468805704,Difficult,6.91,0,0,1.0,1.2913165266106443,2.7058823529411766,0.0196078431372549,0.0196078431372549,0.047619047619047616,357,461.0,102.0,276.0,7.0,7.0,16,1,691,100,153.0,B787-10,318,Long,Evening_Peak,1
UA_1146_2025-08-01_ORD_MBJ,UA,1146,2025-08-01,ORD,MBJ,0.5009384629637614,80.62286355065179,3,99.64349376114082,Difficult,0.6307692307692307,1,1,1.0,0.6919191919191919,0.5972222222222222,0.010101010101010102,0.010101010101010102,0.050505050505050504,198,137.0,72.0,43.0,2.0,2.0,9,1,41,65,3.0,B737-800,166,Long,Morning_Peak,1
UA_2011_2025-08-01_ORD_YVR,UA,2011,2025-08-01,ORD,YVR,0.48258554805020193,77.4791004888418,4,99.46524064171123,Difficult,0.13333333333333333,1,1,1.0,0.8588235294117647,0.4479166666666667,0.011764705882352941,0.011764705882352941,0.03529411764705882,170,146.0,96.0,43.0,2.0,2.0,6,0,8,60,36.0,A320-200,150,Medium,Morning_Peak,1
UA_907_2025-08-01_ORD_FRA,UA,907,2025-08-01,ORD,FRA,0.4696979028387292,75.27151095004832,5,99.28698752228165,Difficult,1.3548387096774193,0,0,1.0,0.8145363408521303,1.6916666666666667,0.012531328320802004,0.012531328320802004,0.06265664160401002,399,325.0,120.0,203.0,5.0,5.0,24,1,210,155,14.0,B787-10,318,Long,Evening_Peak,1
UA_987_2025-08-01_ORD_CDG,UA,987,2025-08-01,ORD,CDG,0.4644352995932426,74.37005318325517,6,99.10873440285205,Difficult,1.6451612903225807,0,0,1.0,0.6290322580645161,0.17857142857142858,0.01152073732718894,0.009216589861751152,0.08525345622119816,434,273.0,224.0,40.0,5.0,4.0,32,5,255,155,-3.0,B787-10,318,Long,Evening_Peak,1
UA_970_2025-08-01_ORD_FCO,UA,970,2025-08-01,ORD,FCO,0.45795552274586443,73.26009963105356,7,98.93048128342245,Difficult,1.032258064516129,1,0,1.0,0.6019900497512438,0.8153846153846154,0.007462686567164179,0.007462686567164179,0.05223880597014925,402,242.0,130.0,106.0,3.0,3.0,21,0,160,155,65.0,B787-10,318,Long,Midday,1
UA_2090_2025-08-01_ORD_MIA,UA,2090,2025-08-01,ORD,MIA,0.4546961951676361,72.70179302444458,8,98.75222816399287,Difficult,0.9838709677419355,1,1,1.0,0.6439024390243903,0.17475728155339806,0.014634146341463415,0.014634146341463415,0.04878048780487805,205,132.0,103.0,18.0,3.0,3.0,10,0,61,62,23.0,B737-900,179,Long,Morning_Peak,0
OO_5292_2025-08-01_ORD_MTY,OO,5292,2025-08-01,ORD,MTY,0.4486708205366187,71.66967631231596,9,98.57397504456328,Difficult,0.9523809523809523,1,1,0.9605263157894737,0.9315068493150684,0.10909090909090909,0.0547945205479452,0.0410958904109589,0.0136986301369863,73,68.0,55.0,6.0,4.0,3.0,1,0,40,42,64.0,ERJ-175,76,Medium,Morning_Peak,1
UA_845_2025-08-01_ORD_GRU,UA,845,2025-08-01,ORD,GRU,0.4477470019602228,71.5114307840189,10,98.3957219251337,Difficult,2.3225806451612905,0,0,1.0,1.1907356948228882,0.9262672811059908,0.013623978201634877,0.013623978201634877,0.05449591280653951,367,437.0,217.0,201.0,5.0,5.0,18,2,360,155,16.0,B787-10,318,Long,Off_Peak,1
UA_953_2025-08-01_ORD_MUC,UA,953,2025-08-01,ORD,MUC,0.44093028504820747,70.34376107423473,11,98.2174688057041,Difficult,11.2,0,0,1.0,0.8615916955017301,0.6618705035971223,0.01384083044982699,0.01384083044982699,0.0657439446366782,289,249.0,139.0,92.0,4.0,4.0,13,6,1680,150,9.0,B787-8,243,Long,Evening_Peak,1
UA_881_2025-08-01_ORD_HND,UA,881,2025-08-01,ORD,HND,0.43877047733053937,69.97379675219668,12,98.0392156862745,Difficult,7.935483870967742,0,0,1.0,0.934010152284264,3.046511627906977,0.01015228426395939,0.005076142131979695,0.06091370558375635,394,368.0,86.0,262.0,4.0,2.0,24,0,1230,155,10.0,B787-10,318,Long,Midday,1
UA_118_2025-08-01_ORD_EDI,UA,118,2025-08-01,ORD,EDI,0.4330772724290783,68.99857906297254,13,97.86096256684492,Difficult,1.2,0,0,1.0,0.8578431372549019,0.6355140186915887,0.029411764705882353,0.029411764705882353,0.0392156862745098,204,175.0,107.0,68.0,6.0,6.0,8,0,90,75,82.0,B757-200,176,Long,Evening_Peak,1
